s,Easting,Northing,depth,vn,unit_discharge
0.0,663597.477,5103989.029,0.546,,
0.5,663596.9973300064,5103989.170126529,0.7495193104417733,,
1.0,663596.5176600127,5103989.311253058,0.75,,
1.5,663596.0379900191,5103989.452379587,0.75,,
2.0,663595.5583200256,5103989.593506117,0.9520772418740908,,
2.5,663595.0786500318,5103989.734632646,0.7524034475783987,,
3.0,663594.5989800383,5103989.875759175,0.75,,
3.5,663594.1193100448,5103990.016885704,0.9506351733064085,,
4.0,663593.639640051,5103990.158012233,1.1541544838977642,,
4.5,663593.1599700575,5103990.299138763,1.3576737943424118,,
5.0,663592.6803000639,5103990.440265292,1.362,,
5.5,663592.2006300702,5103990.581391821,1.362,,
6.0,663591.7209600767,5103990.72251835,1.362,,
6.5,663591.2412900834,5103990.86364488,1.362,,
7.0,663590.7616200894,5103991.004771408,1.362,,
7.5,663590.2819500958,5103991.145897938,1.362,,
8.0,663589.8022801023,5103991.287024467,1.362,,
8.5,663589.3226101085,5103991.428150996,1.362,,
9.0,663588.842940115,5103991.569277525,1.362,,
9.5,663588.3632701215,5103991.710404054,1.7517337981622738,,
10.0,663587.8836001278,5103991.851530583,1.77,0.9071564732072567,1.3648169139403175
10.5,663587.4039301341,5103991.992657113,2.1578110401433612,0.9220840772765018,1.691230721604494
11.0,663586.9242601406,5103992.133783642,2.178,0.9326622132021833,1.7266375553012019
11.5,663586.4445901469,5103992.274910171,2.178,0.943240350835076,1.7462208615009762
12.0,663585.9649201534,5103992.4160367,2.178,0.9538184894379091,1.765804169496401
12.5,663585.4852501599,5103992.557163229,2.178,0.9643966261359078,1.7853874739654059
13.0,663585.0055801661,5103992.698289758,2.178,0.9749747646492578,1.8049707817951708
13.5,663584.5259101725,5103992.839416288,2.178,0.9845743025596089,1.822742406328604
14.0,663584.046240179,5103992.980542817,2.178,0.9867732265456753,1.8268132743040086
14.5,663583.5665701852,5103993.121669346,2.178,0.9808070383516553,1.8157680701004193
15.0,663583.0869001917,5103993.262795875,2.178,0.9663109489007241,1.7889314596999104
15.5,663582.6072301982,5103993.403922404,2.178,0.9483635762090987,1.7557054886359043
16.0,663582.1275602045,5103993.545048933,2.178,0.9304162055961144,1.7224795214200863
16.5,663581.6478902109,5103993.686175463,2.178,0.9124688350823374,1.6892535543879312
17.0,663581.1682202173,5103993.827301992,1.9903434437118188,0.8945214624570783,1.5133441888518107
17.5,663580.6885502238,5103993.968428521,1.974,0.8765740896652694,1.4708036650493554
18.0,663580.2088802301,5103994.10955505,1.974,0.8586267180580434,1.4406897702295909
18.5,663579.7292102366,5103994.250681579,1.974,0.8406793476578067,1.4105758774350339
19.0,663579.2495402431,5103994.391808108,1.974,0.822731975963042,1.3804619824683881
19.5,663578.7698702493,5103994.532934638,1.974,0.8062143332660313,1.3527470297870738
20.0,663578.2902002557,5103994.674061167,1.974,0.820410183849664,1.3765662474813514
20.5,663577.8105302622,5103994.815187696,1.974,0.8393076573006233,1.408274318184716
21.0,663577.3308602684,5103994.956314225,1.974,0.8582051320385591,1.4399823910474983
21.5,663576.8511902749,5103995.097440754,1.974,0.8771026080833735,1.4716904661030925
22.0,663576.3715202814,5103995.238567283,1.974,0.8959299332402979,1.5032808349838958
22.5,663575.8918502879,5103995.379693813,1.974,0.91400966406539,1.5336168153353178
23.0,663575.4121802942,5103995.520820342,1.974,0.9311433022631532,1.5623653468673449
23.5,663574.9325103005,5103995.661946871,1.974,0.9473484967993284,1.589556042779593
24.0,663574.4528403068,5103995.8030734,1.7930730969586421,0.9630392955193722,1.4677798742933212
24.5,663573.9731703133,5103995.944199929,1.77,0.9787300954740696,1.4724994286407378
25.0,663573.4935003198,5103996.085326458,2.129931047874014,0.9944208940058898,1.800340746278112
25.5,663573.013830326,5103996.226452988,2.178,1.010111692593596,1.8700197764985242
26.0,663572.5341603324,5103996.367579517,2.178,1.0258024913084993,1.8990681521594248
26.5,663572.0544903389,5103996.508706046,1.9994765446306741,1.04149328871281,1.7700751918457978
27.0,663571.5748203452,5103996.649832575,1.974,1.0571840873866714,1.7738491802260956
27.5,663571.0951503516,5103996.790959104,1.974,1.072874887253824,1.8001767733231913
28.0,663570.6154803581,5103996.932085633,1.974,1.0885656857916424,1.8265043641897967
28.5,663570.1358103644,5103997.073212163,1.974,1.104256484382348,1.8528319551451415
29.0,663569.6561403708,5103997.214338692,1.7978799921623523,1.119947283091253,1.711501190664397
29.5,663569.1764703772,5103997.355465221,1.77,1.1235989661493595,1.6904546445717115
30.0,663568.6968003835,5103997.49659175,1.9451586288130658,1.1150679834555706,1.8436364932720197
30.5,663568.21713039,5103997.637718279,1.974,1.1066095468078714,1.8567801585889274
31.0,663567.7374603965,5103997.778844808,1.974,1.1038282664211536,1.8521134482280535
31.5,663567.2577904027,5103997.919971338,1.974,1.1088557537620425,1.860549069237331
32.0,663566.7781204091,5103998.061097867,1.6275282585954287,1.121730643835351,1.551801073168306
32.5,663566.2984504156,5103998.202224396,1.5659999999999998,1.1403213251308977,1.5178817158817377
33.0,663565.8187804219,5103998.343350925,1.910548983352379,1.159023187390965,1.8822149864988957
33.5,663565.3391104284,5103998.484477454,1.974,1.1777250508552486,1.9761048628300213
34.0,663564.8594404348,5103998.625603983,1.974,1.1964269130516338,2.007484717409336
34.5,663564.3797704411,5103998.7667305125,1.974,1.2151287752961382,2.0388645720693903
35.0,663563.9001004475,5103998.907857042,1.974,1.2338306376621047,2.070244426933245
35.5,663563.420430454,5103999.048983571,1.974,1.252532498745535,2.1016242796451334
36.0,663562.9407604602,5103999.1901100995,1.974,1.2712343610056023,2.1330041343313
36.5,663562.4610904667,5103999.331236629,1.974,1.289936224532743,2.1643839911434894
37.0,663561.9814204732,5103999.472363158,1.974,1.3086380867248217,2.1957638457155784
37.5,663561.5017504795,5103999.613489687,1.974,1.3273399489671727,2.227143700372019
38.0,663561.0220804858,5103999.754616217,1.8065324035229855,1.3460418113374462,2.0669179263761888
38.5,663560.5424104923,5103999.895742746,1.9369869069187882,1.364743672360172,2.24696703096263
39.0,663560.0627404986,5104000.036869274,1.974,1.3807670430038572,2.316789021456172
39.5,663559.5830705051,5104000.177995804,1.974,1.386475188052797,2.326366718033788
40.0,663559.1034005116,5104000.319122333,1.8084551616488942,1.3893059920220365,2.135622953524691
40.5,663558.6237305178,5104000.460248862,1.77,1.3893571683827661,2.0902878598318715
41.0,663558.1440605242,5104000.601375392,1.77,1.3874369953029717,2.0873989594333207
41.5,663557.6643905309,5104000.742501922,1.77,1.3850337320039732,2.0837832497999775
42.0,663557.184720537,5104000.883628449,1.77,1.382630469877536,2.080167541930753
42.5,663556.7050505434,5104001.024754979,1.77,1.380227211662999,2.076551839946982
43.0,663556.2253805499,5104001.165881508,1.77,1.3780865109870177,2.073331155779968
43.5,663555.7457105562,5104001.307008037,1.6078199882119641,1.375683250161164,1.8800733729988912
44.0,663555.2660405625,5104001.448134567,1.5659999999999998,1.3732799894703003,1.8279729939839162
44.5,663554.786370569,5104001.589261096,1.7272186326935173,1.3708767274240221,2.0126332527227806
45.0,663554.3067005753,5104001.730387624,1.77,1.3687360267943873,2.0592633523121555
45.5,663553.8270305818,5104001.871514154,1.77,1.3663327673262589,2.0556476484423563
46.0,663553.3473605883,5104002.012640683,1.77,1.3639295064560417,2.052031942463115
46.5,663552.8676905945,5104002.153767212,1.77,1.3615262456299455,2.048416236550253
47.0,663552.3880206009,5104002.294893742,1.77,1.3593855450885108,2.0451955525856644
47.5,663551.9083506074,5104002.436020271,1.77,1.3569822830359632,2.041579844827607
48.0,663551.4286806136,5104002.577146799,1.77,1.3545790222568725,2.037964138985465
48.5,663550.9490106201,5104002.718273329,1.77,1.3521757627957982,2.0343484351262786
49.0,663550.4693406266,5104002.859399858,2.083784853980939,,
49.5,663549.9896706329,5104003.000526387,2.0215882624508654,,
50.0,663549.5100006392,5104003.141652917,1.974,,
50.5,663549.0303306457,5104003.282779446,1.974,,
51.0,663548.550660652,5104003.423905974,1.974,,
51.5,663548.0709906585,5104003.565032504,1.974,,
52.0,663547.591320665,5104003.706159033,1.974,,
52.5,663547.1116506715,5104003.847285563,1.974,,
53.0,663546.6319806777,5104003.9884120915,1.820953089135617,,
53.5,663546.1523106841,5104004.129538621,1.77,,
54.0,663545.6726406906,5104004.27066515,1.617914468225345,,
54.5,663545.1929706968,5104004.4117916785,1.5659999999999998,,
55.0,663544.7133007033,5104004.552918208,1.4148758472348015,,
55.5,663544.2336307098,5104004.694044738,1.362,,
56.0,663543.7539607161,5104004.835171266,1.2118372262724948,,
56.5,663543.2742907224,5104004.976297796,1.158,,
57.0,663542.7946207289,5104005.117424325,1.158,,
57.5,663542.3149507354,5104005.258550854,1.158,,
58.0,663541.8352807417,5104005.399677384,1.158,,
58.5,663541.3556107482,5104005.540803913,1.158,0.43778831317143707,0.4309150366546455
59.0,663540.8759407544,5104005.681930441,1.3052786366360867,0.4626227915913739,0.5132738996823937
59.5,663540.3962707608,5104005.823056971,1.362,0.4986930448765723,0.5773369380536078
60.0,663539.9166007673,5104005.9641835,1.5083172575493837,0.5328189077212961,0.683110960614947
60.5,663539.4369307738,5104006.105310029,1.5659999999999998,0.5651484384372981,0.7522690864038875
61.0,663538.95726078,5104006.246436559,1.5659999999999998,0.5956073992054159,0.792813009082329
61.5,663538.4775907865,5104006.387563088,1.5659999999999998,0.6241962072909327,0.8308675715249604
62.0,663537.9979207928,5104006.528689616,1.5659999999999998,0.6511142699529991,0.866698204734437
62.5,663537.5182507992,5104006.669816146,1.5659999999999998,0.6777591054701211,0.902165145291278
63.0,663537.0385808056,5104006.810942675,1.4225668795859814,0.7044039407774683,0.8517524585998907
63.5,663536.5589108119,5104006.952069204,1.362,0.7310487758361057,0.8463351677854597
64.0,663536.0792408184,5104007.093195733,1.362,0.7576936114968489,0.8771818940299021
64.5,663535.5995708249,5104007.234322263,1.503991051846333,0.7843384467393714,1.0026923046878062
65.0,663535.1199008311,5104007.375448791,1.5659999999999998,0.8109832817410001,1.079499846325445
65.5,663534.6402308375,5104007.516575321,1.5659999999999998,0.8376281174593189,1.1149667871500992
66.0,663534.160560844,5104007.65770185,1.5659999999999998,0.8642729527597734,1.1504337274185343
66.5,663533.6808908503,5104007.798828379,1.5659999999999998,0.8909177876309992,1.1859006671156227
67.0,663533.2012208567,5104007.939954908,1.0076495827413618,0.917562623492939,0.7858943554964699
67.5,663532.7215508632,5104008.081081438,1.3064276590257329,0.9442074587216767,1.048507928942537
68.0,663532.2418808695,5104008.222207966,1.5659999999999998,0.9349273055813946,1.2444817364593943
68.5,663531.7622108759,5104008.363334496,1.5659999999999998,,
68.6617892280346,663531.607,5104008.409,1.5659999999999998,,
